id,scan_id,signal_type,status,evidence_text,source_type,source_reference,confidence,created_at
cd2a9c06-183c-47ea-8778-fade47109975,70c030ef-792f-4556-94cd-c2c8c1af5eed,code_validity,Pass,DataMatrix decodes correctly; all required fields present,decoded_code,Decoded from scanned code,structured,2025-06-24T16:45:40
bb714f35-20e3-4975-913f-3980991e6294,70c030ef-792f-4556-94cd-c2c8c1af5eed,label_consistency,Pass,"Printed manufacturer matches encoded manufacturer (fuzzy match, 0.97 confidence)",ocr_reading,OCR vs decoded payload,high,2025-06-24T16:45:40
ebafea7a-8a04-4feb-a853-770d4b885404,70c030ef-792f-4556-94cd-c2c8c1af5eed,expiry_status,Pass,Expiry 03/2028 -- not yet expired,decoded_code,Decoded payload,structured,2025-06-24T16:45:40
c0e5900e-cd43-4d61-8662-0f1e98d9f3d9,70c030ef-792f-4556-94cd-c2c8c1af5eed,nsq_status,FAIL,Batch listed Not of Standard Quality (dissolution failure),government_record,"CDSCO NSQ list, March 2026, Central Labs",high,2025-06-24T16:45:40
47b71a24-5f92-4221-836e-4733699a1e88,70c030ef-792f-4556-94cd-c2c8c1af5eed,replay_pattern,Inconclusive,[Preview] No live scan-log infrastructure in this build,user_photo,Synthetic demo data only,low,2025-06-24T16:45:40
3d8c316d-e3e1-4f2e-97ac-feb0ee14dabe,70c030ef-792f-4556-94cd-c2c8c1af5eed,visual_heuristic,Pass,"No blur, crop, or missing print fields detected",user_photo,Uploaded package photo,medium,2025-06-24T16:45:40
533dc601-3086-49ac-aa21-62978eee012d,70c030ef-792f-4556-94cd-c2c8c1af5eed,community_reports,None (regulator view only),No confirmed reports filed for this batch,community_report,"User-submitted, unverified",low,2025-06-24T16:45:40
8a8bdc68-14f8-4ce1-96dd-05c31d34134c,d129a5e2-02ed-496d-9829-a03cff14e37a,code_validity,FAIL,Decoded payload is malformed / missing required product-code field,decoded_code,Decoded from scanned code,high,2026-03-28T12:03:56
9397f769-c9e2-419f-9578-993f310da1af,d129a5e2-02ed-496d-9829-a03cff14e37a,label_consistency,FAIL,"Printed manufacturer does not match encoded manufacturer (fuzzy match, 0.34 confidence)",ocr_reading,OCR vs decoded payload,high,2026-03-28T12:03:56
35afd3bc-cc84-4ae2-a62e-57d7e2cadaec,d129a5e2-02ed-496d-9829-a03cff14e37a,expiry_status,Pass,Expiry date not yet reached,decoded_code,Decoded payload,structured,2026-03-28T12:03:56
34f709f3-d5ab-47bd-b8d9-a35af86078cb,d129a5e2-02ed-496d-9829-a03cff14e37a,nsq_status,Pass,No match found in current CDSCO alerts,government_record,CDSCO NSQ/spurious database,structured,2026-03-28T12:03:56
3e79b967-e01a-489a-b823-9dbcf3ca05a9,d129a5e2-02ed-496d-9829-a03cff14e37a,replay_pattern,Inconclusive,[Preview] Not enough synthetic scan history for this batch,user_photo,Synthetic demo data only,low,2026-03-28T12:03:56
65eaa96a-b137-420e-b051-7670f4673b14,d129a5e2-02ed-496d-9829-a03cff14e37a,visual_heuristic,Pass,No blur or crop detected,user_photo,Uploaded package photo,medium,2026-03-28T12:03:56
91437715-6aa3-46c1-87a7-9f3650c05ee5,d129a5e2-02ed-496d-9829-a03cff14e37a,community_reports,None (regulator view only),No confirmed reports filed for this batch,community_report,"User-submitted, unverified",low,2026-03-28T12:03:56
22dd18f5-9dad-4f29-b16e-6c17170dfc29,d155f123-6112-4b61-883d-64f0fc1f2533,code_validity,Pass,Decodes correctly; all required fields present,decoded_code,Decoded from scanned code,structured,2026-06-21T13:02:10
e4a4bfe7-4017-4d64-864f-4856185b05f5,d155f123-6112-4b61-883d-64f0fc1f2533,label_consistency,FAIL,"Printed manufacturer does not match encoded manufacturer (fuzzy match, 0.41 confidence)",ocr_reading,OCR vs decoded payload,high,2026-06-21T13:02:10
5658b03d-47c2-496e-a2e5-295dbf936737,d155f123-6112-4b61-883d-64f0fc1f2533,expiry_status,Pass,Not yet expired,decoded_code,Decoded payload,structured,2026-06-21T13:02:10
9cf59735-33ef-4609-a210-338f489eb9d8,d155f123-6112-4b61-883d-64f0fc1f2533,nsq_status,Pass,No match found in current CDSCO alerts,government_record,CDSCO NSQ/spurious database,structured,2026-06-21T13:02:10
9cfd5d97-85b2-4ee3-b60a-649e1bcdab07,d155f123-6112-4b61-883d-64f0fc1f2533,replay_pattern,Inconclusive,"[Preview] Same serial recorded in two locations >1,000km apart within 24 hours",user_photo,Synthetic demo scan-log data only,medium,2026-06-21T13:02:10
0ec347a6-6246-43d4-9d5c-bffe4000cb48,d155f123-6112-4b61-883d-64f0fc1f2533,visual_heuristic,Pass,No blur or crop detected,user_photo,Uploaded package photo,medium,2026-06-21T13:02:10
8d1a32c7-b9fe-4d89-9b44-a01d96abb863,d155f123-6112-4b61-883d-64f0fc1f2533,community_reports,None (regulator view only),No confirmed reports filed for this batch,community_report,"User-submitted, unverified",low,2026-06-21T13:02:10
3e8362b5-409a-426b-b38f-49989813efce,4a5a9d64-d0ca-42ff-9359-44803f2684fb,code_validity,FAIL,Decoded payload missing required expiry field,decoded_code,Decoded from scanned code,high,2026-04-17T18:07:41
6c956ea0-919c-48b1-9ff2-bfce46b8a8e3,4a5a9d64-d0ca-42ff-9359-44803f2684fb,label_consistency,Pass,"Printed manufacturer matches encoded manufacturer (fuzzy match, 0.93 confidence)",ocr_reading,OCR vs decoded payload,high,2026-04-17T18:07:41
323610b6-6f06-47ed-82fc-20e0844d36b8,4a5a9d64-d0ca-42ff-9359-44803f2684fb,expiry_status,Pass,Not yet expired (from OCR fallback),ocr_reading,OCR reading,medium,2026-04-17T18:07:41
9c0db463-291f-4318-ac9d-914475e2f5d5,4a5a9d64-d0ca-42ff-9359-44803f2684fb,nsq_status,Pass,No match found in current CDSCO alerts,government_record,CDSCO NSQ/spurious database,structured,2026-04-17T18:07:41
ea7bc9b2-33a4-4017-8d3e-935e915c5da1,4a5a9d64-d0ca-42ff-9359-44803f2684fb,replay_pattern,Inconclusive,[Preview] Synthetic demo data only,user_photo,Synthetic demo data only,low,2026-04-17T18:07:41
2a89102b-9eaf-40aa-b5fb-cad557409c82,4a5a9d64-d0ca-42ff-9359-44803f2684fb,visual_heuristic,FAIL,Uploaded photo shows a blurred/cropped batch line and inconsistent print alignment,user_photo,Uploaded package photo,medium,2026-04-17T18:07:41
4f50c77d-b3dd-4f4d-aef5-05543142a933,4a5a9d64-d0ca-42ff-9359-44803f2684fb,community_reports,None (regulator view only),No confirmed reports filed for this batch,community_report,"User-submitted, unverified",low,2026-04-17T18:07:41
7434f6b6-931b-43bd-8e92-1b11c1a8019c,f457c2a9-8530-4ffd-9877-8d2bca2ad655,code_validity,Pass,Decodes correctly,decoded_code,Decoded from scanned code,structured,2025-10-12T07:12:58
1a82ab1a-7cc4-43e6-a641-8b49800d7bfb,f457c2a9-8530-4ffd-9877-8d2bca2ad655,label_consistency,Pass,Fields match,ocr_reading,OCR vs decoded payload,high,2025-10-12T07:12:58
dde8acbf-22a8-4ea8-9aed-49538eff869e,f457c2a9-8530-4ffd-9877-8d2bca2ad655,expiry_status,FAIL -- Expired,Expiry date has passed,decoded_code,Decoded payload,structured,2025-10-12T07:12:58
232ab154-9393-4105-81fe-f281d0e6eb30,f457c2a9-8530-4ffd-9877-8d2bca2ad655,nsq_status,Pass,No match found in current CDSCO alerts,government_record,CDSCO NSQ/spurious database,structured,2025-10-12T07:12:58
83553c83-e1af-48bb-92cd-7955a71d74ea,f457c2a9-8530-4ffd-9877-8d2bca2ad655,replay_pattern,Inconclusive,[Preview] Synthetic demo data only,user_photo,Synthetic demo data only,low,2025-10-12T07:12:58
ecee5e38-cfd8-4ee8-ae31-091741ee2dbd,f457c2a9-8530-4ffd-9877-8d2bca2ad655,visual_heuristic,Pass,"No blur, crop, or missing print fields detected",user_photo,Uploaded package photo,medium,2025-10-12T07:12:58
9c055f88-c59a-4bff-abba-00c2497d8162,6255322c-a1c0-4a44-86ab-03f42501021a,code_validity,Pass,Decodes correctly,decoded_code,Decoded from scanned code,structured,2025-10-03T18:28:03
66a0da29-b201-4c19-9607-ebdae19f84fa,6255322c-a1c0-4a44-86ab-03f42501021a,label_consistency,Pass,Fields match,ocr_reading,OCR vs decoded payload,high,2025-10-03T18:28:03
1009238b-3222-4bf9-a4f1-d217fc1aa1e4,6255322c-a1c0-4a44-86ab-03f42501021a,expiry_status,FAIL -- Expired,Expiry date has passed,decoded_code,Decoded payload,structured,2025-10-03T18:28:03
02095d2b-2f7c-49d1-bc11-278a8b97bf56,6255322c-a1c0-4a44-86ab-03f42501021a,nsq_status,FAIL,Batch listed Not of Standard Quality,government_record,"CDSCO NSQ list, January 2026, State Labs",high,2025-10-03T18:28:03
